Année;Taux de croissance
1950;8,6
1951;5,8
1952;3,1
1953;3,5
1954;5,6
1955;5,3
1956;5
1957;5,5
1958;2,7
1959;2,7
1960;8
1961;5
1962;6,8
1963;6,2
1964;6,6
1965;4,8
1966;5,2
1967;4,9
1968;4,5
1969;7,1
1970;6,1
1971;5,3
1972;4,5
1973;6,3
1974;4,3
1975;-1
1976;4,3
1977;3,5
1978;4
1979;3,6
1980;1,6
1981;1,1
1982;2,5
1983;1,3
1984;1,5
1985;1,6
1986;2,4
1987;2,6
1988;4,7
1989;4,4
1990;2,9
1991;1
1992;1,6
1993;-0,6
1994;2,3
1995;2,1
1996;1,4
1997;2,3
1998;3,6
1999;3,4
2000;3,9
2001;2
2002;1,1
2003;0,8
2004;2,8
2005;1,6
2006;2,4
2007;2,4
2008;0,2
2009;-2,9
2010;2
2011;2,1
2012;0,2
2013;0,6
2014;0,6
2015;1,3
2016;1,1
2017;2,2
2018;1,9
2019;1,8
2020;-7,8
2021;6,8