Année;25-49 ans
1975;5040
1976;5231
1977;5443
1978;5557
1979;5770
1980;5918
1981;6066
1982;6232
1983;6419
1984;6620
1985;6771
1986;7000
1987;7125
1988;7308
1989;7500
1990;7691
1991;7921
1992;8166
1993;8386
1994;8548
1995;8677
1996;8836
1997;8804
1998;8863
1999;8868
2000;8899
2001;8916
2002;8918
2003;8902
2004;8918
2005;8948
2006;8980
2007;9041
2008;9121
2009;9109
2010;9100
2011;9042
2012;9011
2013;9049
2014;9003
2015;8934
2016;8876
2017;8823
2018;8859
2019;8817
2020;8705
2021;8704
2022;8671
2023;8673