Anne;taux inflation (en %)
1901;0
1902;0
1903;0
1904;0
1905;0
1906;-7,9
1907;8,5
1908;0
1909;0
1910;0
1911;15,5
1912;0
1913;0
1914;0
1915;19,8
1916;11,2
1917;20
1918;29,2
1919;22,6
1920;39,5
1921;-13,3
1922;-2,1
1923;8,9
1924;14,2
1925;7,2
1926;31,7
1927;3,8
1928;0
1929;6,1
1930;1,1
1931;-4,5
1932;-8,3
1933;-3,9
1934;-4,1
1935;-8,5
1936;7,7
1937;25,7
1938;13,7
1939;7
1940;17,8
1941;17,5
1942;20,3
1943;24,1
1944;22,2
1945;48,5
1946;52,6
1947;49,2
1948;58,7
1949;13,2
1950;10
1951;16,2
1952;11,9
1953;-1,7
1954;0,4
1955;1
1956;4,2
1957;3
1958;15,1
1959;6,2
1960;3,6
1961;3,3
1962;4,8
1963;4,8
1964;3,4
1965;2,5
1966;2,7
1967;2,7
1968;4,5
1969;6,5
1970;5,2
1971;5,7
1972;6,2
1973;9,2
1974;13,7
1975;11,8
1976;9,6
1977;9,4
1978;9,1
1979;10,8
1980;13,6
1981;13,4
1982;11,8
1983;9,6
1984;7,4
1985;5,8
1986;2,7
1987;3,1
1988;2,7
1989;3,6
1990;3,4
1991;3,3
1992;2,3
1993;2,1
1994;1,7
1995;1,9
1996;2
1997;1,2
1998;0,6
1999;0,5
2000;1,7
2001;1,6
2002;2
2003;2,1
2004;2,1
2005;1,9
2006;1,6
2007;1,5
2008;2,8
2009;0,1
2010;1,5
2011;2,1
2012;2
2013;0,9
2014;0,5
2015;0
2016;0,2
2017;1
2018;1,8
2019;1,1
2020;0,5
2021;1,6
2022;5,2