Annee;Nombre de mort infantile
1901;151,1
1902;143,3
1903;145,3
1904;152,9
1905;144,5
1906;151,5
1907;137,7
1908;136,9
1909;125,4
1910;118,6
1911;163,1
1912;112,4
1913;119,9
1914;116,7
1915;130,4
1916;125,1
1917;135,1
1918;150,3
1919;130,9
1920;123,3
1921;121,3
1922;90,5
1923;101,8
1924;89,8
1925;94,8
1926;101,8
1927;87,8
1928;96,8
1929;100,3
1930;83,8
1931;79,9
1932;81,6
1933;78,4
1934;74,4
1935;72,5
1936;71,8
1937;70
1938;70,4
1939;68,3
1940;91,4
1941;75
1942;76,7
1943;81
1944;82,3
1945;113,7
1946;77,8
1947;71,1
1948;55,9
1949;60,3
1950;51,9
1951;50,2
1952;45,1
1953;41,7
1954;40,8
1955;38,6
1956;36,2
1957;33,8
1958;31,5
1959;29,6
1960;27,4
1961;25,7
1962;25,7
1963;25,6
1964;23,4
1965;21,9
1966;21,7
1967;20,7
1968;20,4
1969;19,6
1970;18,2
1971;17,1
1972;16
1973;15,4
1974;14,7
1975;13,8
1976;12,5
1977;11,4
1978;10,7
1979;10
1980;10
1981;9,7
1982;9,5
1983;9,1
1984;8,3
1985;8,3
1986;8
1987;7,8
1988;7,8
1989;7,5
1990;7,3
1991;7,3
1992;6,8
1993;6,5
1994;5,9
1995;4,9
1996;4,8
1997;4,7
1998;4,6
1999;4,3
2000;4,4
2001;4,5
2002;4,1
2003;4
2004;3,9
2005;3,6
2006;3,6
2007;3,6
2008;3,6
2009;3,7
2010;3,5
2011;3,3
2012;3,3
2013;3,5
2014;3,3
2015;3,5
2016;3,5
2017;3,6
2018;3,6
2019;3,6
2020;3,4
2021;3,4
2022;3,7
2023;3,8